,co2
2015,408.24124130107214
2016,411.62329990364674
2017,413.95525720120906
2018,415.543403959214
2019,417.4845869902824
2020,420.36496830077687
2021,423.3975320957186
2022,425.6093435156035
2023,429.08112523035805
2024,431.33629956581444
2025,433.32797192116914
2026,436.41032778425165
2027,439.4045026097008
2028,441.63367335049196
2029,444.5135983433593
2030,447.3082158982941
2031,449.50249030825574
2032,452.207584559319
2033,455.4839331279824
2034,458.28489608994084
2035,460.81710208125696
2036,463.6461285410654
2037,466.40917345518636
2038,469.2939646708029
2039,472.93132674748296
2040,476.0119150967613
2041,477.32934108871757
2042,479.7126239435936
2043,483.65829089940195
2044,486.91891611055524
2045,489.77057629120753
2046,492.4282812792044
2047,495.10789366297365
2048,497.91799563198396
2049,500.91282024414414
2050,504.7575169255553
2051,507.85917037177427
2052,509.8232548732556
2053,512.3569808766628
2054,515.127428122687
2055,518.491972089773
2056,522.4359852723865
2057,525.0607085061312
2058,527.0522807552301
2059,530.1351140456663
2060,533.8728940171131
2061,535.7410583121925
2062,537.5183361582033
2063,539.9795505404269
2064,543.5171386133283
2065,546.3986449685256
2066,549.2062646668322
2067,551.8528741991796
2068,555.0079298393745
2069,557.3294561791101
2070,559.4312000636038
2071,561.786411490568
2072,563.530954499833
2073,565.513365385351
2074,568.2529927776875
2075,570.2592123209668
2076,572.1973626385076
2077,574.00650580996
2078,575.0106298391305
2079,576.1299792512405
2080,578.2470015376836
2081,580.7149028695344
2082,582.1598083766723
2083,583.2914562613207
2084,584.0757822287304
2085,585.1438929328801
2086,586.0889293207533
2087,586.541761468584
2088,587.8522492658647
2089,589.5590818695672
2090,590.1813502283885
2091,590.0629630215079
2092,590.2722128040867
2093,591.2100914420705
2094,591.8714135308968
2095,591.8364909120642
2096,591.8820397597309
2097,591.7027075157885
2098,591.9672648330559
2099,592.5482987971698
