,co2
2015,407.60196589396907
2016,410.30051871590376
2017,412.8738339493197
2018,415.44063907563225
2019,417.9460028643037
2020,420.98650149962566
2021,423.7341944674396
2022,425.951448008017
2023,427.76704580660663
2024,429.53102046566585
2025,432.2555942476619
2026,435.0013362520704
2027,438.41083412084856
2028,441.4655525278317
2029,443.9090676140828
2030,446.32146208208485
2031,449.40889918782824
2032,452.8995835722505
2033,455.9115870919927
2034,458.4791701335961
2035,460.7295278043516
2036,462.8253596060131
2037,465.73527458090234
2038,469.9438081858337
2039,473.60303374457027
2040,476.0198004473125
2041,478.1743611015768
2042,481.24607094148007
2043,483.69633212989834
2044,486.09195514967894
2045,489.4310852890137
2046,492.6870589445613
2047,495.00416822823826
2048,496.8059793926975
2049,499.40618914667465
2050,502.5328941194247
2051,505.5671301080898
2052,508.40742997647357
2053,511.27879092976406
2054,513.7143747607108
2055,516.9134971449702
2056,519.9138058899314
2057,522.6230567499111
2058,526.360194242883
2059,529.6610985633939
2060,530.9436974247277
2061,533.6604657173425
2062,537.0892989881864
2063,539.4027435742142
2064,541.8068396731157
2065,544.2968860300635
2066,547.0920445473637
2067,550.8425831421853
2068,553.6002117800601
2069,555.8760012023862
2070,558.1139159095403
2071,560.5876000542785
2072,562.680725918423
2073,564.6170143501588
2074,565.9978869403088
2075,567.7642260250751
2076,570.3148140086489
2077,573.1094063611905
2078,575.5204102968091
2079,576.8914349195745
2080,577.4026624375826
2081,578.7508063739431
2082,580.0168868366807
2083,581.9377094284115
2084,583.1188656462298
2085,584.3144192926295
2086,585.792901173049
2087,587.6503987435358
2088,589.231939776592
2089,589.5687689312315
2090,589.5278398898793
2091,589.837745976855
2092,591.2012045269654
2093,591.9899694748362
2094,591.6268177861582
2095,592.1030820308885
2096,593.0191117260212
2097,592.4433874009936
2098,591.9000578135604
2099,592.3700616217515
