,co2
1850,282.56020899403654
1851,282.27774321663804
1852,282.2964636426629
1853,283.10867315633044
1854,283.76212258045797
1855,284.8294861649001
1856,284.836736266099
1857,285.1363626879829
1858,285.33434030722316
1859,286.6219330433877
1860,287.10425912831914
1861,286.74560549604547
1862,286.8605316985254
1863,286.9771350587356
1864,287.0949258320417
1865,287.1739684707323
1866,287.11886014643073
1867,287.7091084031154
1868,288.02367012337317
1869,287.58056856909843
1870,288.1821593439524
1871,289.2552427424552
1872,289.57102777606036
1873,289.09832964504943
1874,288.96590183668286
1875,289.5841638031297
1876,289.8794043061288
1877,290.1302377875935
1878,290.8163401588494
1879,291.1140497130992
1880,291.2338410256004
1881,291.72516219825314
1882,292.56573422947093
1883,292.25835775308605
1884,291.27543069188596
1885,291.7834147102981
1886,292.04093941295207
1887,292.05522567432956
1888,291.95084412771354
1889,292.30453377698836
1890,292.3969243061018
1891,292.14276996191853
1892,292.34116261582307
1893,292.45653160768717
1894,292.70061075870484
1895,292.93696470593613
1896,293.5097200652663
1897,293.6413455729246
1898,293.78513645026237
1899,294.2387336272483
1900,294.4972313984811
1901,294.5126122115388
1902,295.1006340968194
1903,295.78908933282275
1904,296.3439721035364
1905,296.85248047922056
1906,296.28299233242547
1907,295.72858599643496
1908,294.88041605123294
1909,294.9686123750277
1910,295.80988007080464
1911,296.72822126871813
1912,297.5911901471746
1913,298.124830454584
1914,298.90930994192064
1915,299.9689002004988
1916,299.3306041087732
1917,298.76919834352526
1918,298.845303907533
1919,299.4002214607483
1920,299.7150938235006
1921,300.2454740465494
1922,300.8446761605101
1923,301.44525750071847
1924,301.422547257434
1925,301.8793661136602
1926,302.40610905306454
1927,303.0813886871201
1928,304.07649982051544
1929,304.73689535415707
1930,304.1980170043437
1931,303.50228459343623
1932,303.6675107735936
1933,304.143429403627
1934,304.8491418569094
1935,305.82143968601804
1936,306.2576844437101
1937,305.97585844764694
1938,305.2803344114671
1939,304.89831806434955
1940,305.540945911411
1941,306.3242926894884
1942,307.6707761467603
1943,308.48427225531555
1944,308.2091472563833
1945,308.1131060422807
1946,308.6594318189744
1947,309.7970257616991
1948,311.0284279160663
1949,311.71904341911926
1950,312.1776438170109
1951,312.72714516846946
1952,313.4000169651321
1953,313.7370181579588
1954,314.7903784952518
1955,315.84089838852026
1956,317.5505743232331
1957,318.76259073729864
1958,318.24792218683245
1959,318.33015887059304
1960,319.5399750725406
1961,320.3366360975785
1962,321.3250047517632
1963,321.7380263384804
1964,322.3413303612853
1965,323.48460896763413
1966,325.34861357258075
1967,325.81104932732825
1968,326.2829120565076
1969,327.73610369025386
1970,329.91181375561086
1971,331.5777981267142
1972,331.6300359009958
1973,332.4158932782495
1974,334.34259109924034
1975,335.7179556685593
1976,337.0810262373694
1977,339.40050328360513
1978,340.89044536357596
1979,342.17738835051165
1980,343.7899584866909
1981,345.41458190204133
1982,347.0410854807416
1983,348.0990192478311
1984,349.3083024156233
1985,351.29502187129117
1986,353.8565625661876
1987,355.9109257824087
1988,357.0814355552841
1989,358.6852896580686
1990,360.24497206971796
1991,361.96126792658555
1992,363.17995340778805
1993,364.6097731085689
1994,365.82651618981816
1995,367.15660531265297
1996,369.32942341992094
1997,370.96000212371325
1998,372.27673769250487
1999,373.64829969166846
2000,375.56535327851526
2001,377.8490198665266
2002,378.86461470492276
2003,379.88979971646074
2004,381.84406157329573
2005,384.34322675378024
2006,386.14518908646903
2007,387.52529497089927
2008,389.9248376380515
2009,392.03294398721954
2010,394.3041630267697
2011,396.3945095545361
2012,399.5721407811585
2013,403.24237308367464
2014,405.8432982251939
